run,n_acciones,kge_mediano,weap_J1_gw_storage,weap_J2_unmet_ap,weap_J3_agri_value,weap_J4_supply_cost,weap_J51_mean_town_fail,weap_J52_worst_year_frac,weap_J6_coastal_salinity,mlp_J1_gw_storage,mlp_J2_unmet_ap,mlp_J3_agri_value,mlp_J4_supply_cost,mlp_J51_mean_town_fail,mlp_J52_worst_year_frac,mlp_J6_coastal_salinity
295,1,0.8573727050082189,38724084.0,15667258.0,36413609839.070694,85159874049.30566,,,0.8625492302595226,38630146.43662569,15780918.732014991,37924791676.633896,86741125917.24966,,,0.8668223284014206
296,1,0.8563038286781346,38393232.0,11773125.0,62071750945.93035,84954741903.70679,,,0.8648104725091514,38319026.003274366,15455110.666054899,60149614096.81922,80700143958.84033,,,0.8594970248055589
299,1,0.8628205747072814,36249744.0,26018750.0,52180236390.93977,102475279150.0963,,,0.8663689415864271,36029220.27994798,27135716.955363553,52810197107.01902,101432288951.23679,,,0.8709099652449679
309,1,0.8370839090855484,37080028.0,14746328.0,35766595648.31591,91748246113.65102,,,0.8641890177637825,37009618.746508576,15308271.567400018,37313593771.32371,89231534287.63968,,,0.8638960233722763
312,1,0.838451892953551,34273104.0,17271456.0,49716132434.24649,99096492365.82928,,,0.8646092292126891,34628750.6677487,16541256.100353254,49779559151.62464,107562978282.60068,,,0.8652578329820988
318,1,0.8222987681872731,37945804.0,81155648.0,55446647851.10821,111061020242.45572,,,0.8663983709050781,37906013.71852371,80092220.83230317,55442473348.63,108773322037.74207,,,0.8702408132472124
320,1,0.8176176242554185,34269612.0,13728554.0,42059381944.22059,69096057781.03085,,,0.8645047591282771,34269506.969570085,14183867.103486443,41732285404.50668,75730975869.86482,,,0.8685809347624057
322,1,0.8471510501187215,36297612.0,68388256.0,42912124944.61992,93433605714.0387,,,0.8669125511373951,36028040.1714959,67073630.543903425,43567982467.7325,98150711084.7212,,,0.8736359223342735
323,1,0.8615678384578707,38479628.0,80377648.0,53562371507.07081,100584801346.95801,,,0.8638661008707385,38307185.6783918,79320248.04462285,53858355787.65426,95483743879.59053,,,0.8716786242517479
331,1,0.8474988136853913,37906336.0,71004240.0,55656126972.94058,102151517447.55208,,,0.8664233563663243,37803133.56472176,70076720.19349614,54064388901.36581,104766892581.4701,,,0.870615328007041
344,1,0.8724919189701639,38481188.0,81606064.0,55366779958.83138,105586982629.57518,,,0.8638296550155704,38059319.060528114,80268409.68617068,55149755590.85657,104237966248.6367,,,0.8703139947001077
349,1,0.8155892341259843,38662456.0,12982141.0,35627799398.980446,79744418820.53493,,,0.8643955421151353,38622873.07902265,13502154.170868777,37435642450.99385,74493172289.08531,,,0.8622694708034597
352,1,0.8528612998518543,36253240.0,14835612.0,51474285976.90158,92800210527.66544,,,0.8661122527711597,36028336.17756213,15049770.303178973,52158673652.33372,91424285972.30687,,,0.8687898749578753
359,1,0.8610497339540487,36725640.0,32226532.0,53522794674.259605,104346834297.22049,,,0.8645949280808485,36698024.045509845,31397907.845388323,53451473433.501175,103472956180.37297,,,0.8627292452981821
427,2,0.8048806134557143,33131528.0,7658709.0,28481705672.472397,49701153128.23014,,,0.8599730959305396,33584653.68154019,8127853.782796582,28901104478.2252,44411299934.07856,,,0.869841542114336
436,2,0.8332283772516045,36676416.0,68156768.0,53690708581.63576,113191946422.1404,,,0.8652400574484072,36595099.16456046,63261867.90583858,53369139757.12529,111491561774.63329,,,0.8683679971815365
438,3,0.7251085091681339,29753084.0,14354696.0,29140862554.84523,82478746004.62921,,,0.8645091415285231,31889879.34998023,13701769.49875441,29965450485.12704,101532076879.5281,,,0.8702102523837042
459,2,0.8426138938757055,38168492.0,56979784.0,62493448875.47412,94736763873.22534,,,0.863533520013117,37908383.213030435,55836161.76711843,60594962190.90046,91805854378.79073,,,0.8701192161009571
473,2,0.8228035605134033,36371068.0,21311492.0,35659488119.835365,63046882725.90457,,,0.8664613077134797,36121162.10257705,21473087.072834034,37744793138.70614,57750194767.83235,,,0.8724576286947883
490,1,0.84638213709365,29318410.0,76473728.0,49749825630.52115,112350501872.80287,,,0.8654491791636238,30610566.725199506,71704824.24841416,49032132501.337616,120015710482.46658,,,0.8710747891793148
501,3,0.8579539936837159,38416420.0,24770088.0,61395352596.913895,89680480322.00061,,,0.8637130800938551,38009622.39732825,25670391.7457757,58706928534.41325,88075354426.14174,,,0.8664126762518942
513,1,0.801494525093158,34629784.0,86186336.0,32240186275.542,100737960853.43494,,,0.8656997255048923,34581375.80527561,82209175.37355098,32389057521.20192,110184693542.93167,,,0.8745304598241309
529,2,0.8356498730703656,37093440.0,76664168.0,35345499731.78807,114719502737.16127,,,0.8654512794052991,37003404.11868447,73295884.77982917,36289731167.4452,121076140523.2967,,,0.8701127112153526
535,1,0.8285296328145833,36592364.0,83534008.0,57294955874.83699,116679757400.20241,,,0.8655292105563592,36496644.69687424,79178867.85893056,55265170085.96797,117015566970.0474,,,0.8684490246401788
541,4,0.8621028411496776,38465036.0,11550517.0,54329469423.456894,74517049150.02576,,,0.8647622379019173,38285682.34352666,12518360.640292346,54255288578.89856,68661787811.33503,,,0.8628554967214462
543,2,0.8774480976917143,36233780.0,68147696.0,56025335663.80518,114334220235.2255,,,0.8655600353739663,35978560.41285498,66069468.38279201,54951821823.373924,118766575267.98216,,,0.8724452845025387
576,2,0.837250201158851,37945804.0,72653416.0,55441353041.05522,111436940076.23763,,,0.8663983709050781,37857041.88332316,71404537.27295649,55440515497.856384,101994926257.6308,,,0.872335151585006
600,3,0.5825616579536762,29371110.0,12129785.0,33980495927.10842,81552686353.51653,,,0.8641165133678552,31994013.03793913,10495536.324935693,36538516001.4812,80178405529.02782,,,0.8640537326042652
608,2,0.7288337946712713,29463044.0,84111080.0,33724766287.003613,116876527247.79912,,,0.8651847931518052,31338481.852548826,73596411.25244153,34686798578.94574,132653828331.0308,,,0.8711258613036601
620,4,0.7799059441199352,28234766.0,13594795.0,35127911590.45678,67263991396.62163,,,0.8612505583311109,31014148.43411701,13121670.771095194,37892545091.52693,68638645417.77728,,,0.8716624012725965
635,2,0.8456369422200207,38673960.0,73248480.0,36338450117.12259,105621673912.25285,,,0.8571652698720621,38574947.60538432,70529019.08605678,37831171149.31337,99476644132.50864,,,0.867654593114352
