WellName,TOP,WellDepth_m,z_bot
DemAGRO_SHAC_Q05_fict__p_52_194_id243,161.93,3.0,158.92999267578125
DemAGRO_SHAC_Q05_fict__p_53_192_id244,167.67,4.0,163.6699981689453
DemAGRO_SHAC_Q05_fict__p_55_188_id242,165.42,8.0,157.4199981689453
DemAGRO_SHAC_Q05_fict__p_56_190_id251,157.22,3.5,153.72000122070312
DemAGRO_SHAC_Q05_fict__p_57_187_id245,155.09,8.0,147.08999633789062
DemAGRO_SHAC_Q05_fict__p_57_188_id229,153.11,5.0,148.11000061035156
DemAGRO_SHAC_Q05_fict__p_58_187_id250,150.08,4.0,146.0800018310547
DemAGRO_SHAC_Q05_fict__p_58_189_id231,149.57,4.8,144.77000732421874
DemAGRO_SHAC_Q05_fict__p_59_189_id228,147.32,4.0,143.32000732421875
DemAGRO_SHAC_Q05_fict__p_59_191_id246,175.01,6.0,169.00999450683594
DemAGRO_SHAC_Q05_fict__p_60_185_id237,143.99,7.0,136.99000549316406
DemAGRO_SHAC_Q05_fict__p_63_181_id238,137.49,4.0,133.49000549316406
DemAGRO_SHAC_Q05_fict__p_63_181_id239,137.49,7.0,130.49000549316406
DemAGRO_SHAC_Q05_fict__p_68_173_id236,148.11,1.5,146.61000061035156
DemAGRO_SHAC_Q05_fict__p_71_172_id249,146.33,4.0,142.3300018310547
DemAGRO_SHAC_Q05_fict__p_71_187_id224,170.34,6.0,164.33999633789062
DemAGRO_SHAC_Q05_fict__p_73_169_id221,120.19,3.0,117.19000244140625
DemAGRO_SHAC_Q05_fict__p_73_169_id222,120.19,3.0,117.19000244140625
DemAGRO_SHAC_Q05_fict__p_74_165_id232,119.38,4.0,115.37999725341797
DemAGRO_SHAC_Q05_fict__p_74_165_id248,119.38,3.8,115.57999725341797
DemAGRO_SHAC_Q05_fict__p_74_167_id234,116.47,3.0,113.47000122070312
DemAGRO_SHAC_Q05_fict__p_77_162_id235,110.75,3.0,107.75
DemAGRO_SHAC_Q05_fict__p_77_167_id225,113.72,7.22,106.50000122070313
DemAGRO_SHAC_Q05_fict__p_78_165_id226,111.87,5.2,106.67000274658203
DemAGRO_SHAC_Q05_fict__p_79_160_id233,104.81,3.0,101.80999755859375
DemAGRO_SHAC_Q05_fict__p_79_162_id227,105.78,3.2,102.57999877929687
DemAGRO_SHAC_Q06_fict__p_79_123_id169,67.09,60.0,7.089996337890625
DemAGRO_SHAC_Q06_fict__p_80_133_id93,88.04,7.0,81.04000091552734
DemAGRO_SHAC_Q06_fict__p_80_136_id117,87.81,8.0,79.80999755859375
DemAGRO_SHAC_Q06_fict__p_80_137_id174,94.46,7.5,86.95999908447266
DemAGRO_SHAC_Q06_fict__p_80_138_id176,98.31,15.0,83.30999755859375
DemAGRO_SHAC_Q06_fict__p_80_142_id147,94.04,9.0,85.04000091552734
DemAGRO_SHAC_Q06_fict__p_80_143_id135,93.96,9.0,84.95999908447266
DemAGRO_SHAC_Q06_fict__p_81_133_id92,80.58,7.0,73.58000183105469
DemAGRO_SHAC_Q06_fict__p_81_134_id141,81.99,9.0,72.98999786376953
DemAGRO_SHAC_Q06_fict__p_81_134_id91,81.99,6.5,75.48999786376953
DemAGRO_SHAC_Q06_fict__p_81_135_id119,82.53,14.0,68.52999877929688
DemAGRO_SHAC_Q06_fict__p_81_135_id120,82.53,3.0,79.52999877929688
DemAGRO_SHAC_Q06_fict__p_81_136_id102,83.45,9.0,74.44999694824219
DemAGRO_SHAC_Q06_fict__p_81_137_id128,86.19,13.0,73.19000244140625
DemAGRO_SHAC_Q06_fict__p_81_137_id175,86.19,6.0,80.19000244140625
DemAGRO_SHAC_Q06_fict__p_81_138_id87,89.43,10.0,79.43000030517578
DemAGRO_SHAC_Q06_fict__p_81_140_id139,94.43,6.0,88.43000030517578
DemAGRO_SHAC_Q06_fict__p_81_141_id182,93.4,8.0,85.4000015258789
DemAGRO_SHAC_Q06_fict__p_81_142_id116,91.08,11.0,80.08000183105469
DemAGRO_SHAC_Q06_fict__p_81_142_id146,91.08,8.0,83.08000183105469
DemAGRO_SHAC_Q06_fict__p_81_142_id167,91.08,8.0,83.08000183105469
DemAGRO_SHAC_Q06_fict__p_81_143_id157,90.25,8.0,82.25
DemAGRO_SHAC_Q06_fict__p_81_147_id177,104.22,11.0,93.22000122070312
DemAGRO_SHAC_Q06_fict__p_81_147_id178,104.22,10.0,94.22000122070312
DemAGRO_SHAC_Q06_fict__p_81_149_id184,109.97,8.0,101.97000122070312
DemAGRO_SHAC_Q06_fict__p_81_154_id163,124.08,7.0,117.08000183105469
DemAGRO_SHAC_Q06_fict__p_81_158_id125,104.28,12.0,92.27999877929688
DemAGRO_SHAC_Q06_fict__p_82_134_id103,78.63,11.0,67.62999725341797
DemAGRO_SHAC_Q06_fict__p_82_136_id104,81.78,12.0,69.77999877929688
DemAGRO_SHAC_Q06_fict__p_82_138_id127,86.53,12.0,74.52999877929688
DemAGRO_SHAC_Q06_fict__p_82_138_id131,86.53,10.0,76.52999877929688
DemAGRO_SHAC_Q06_fict__p_82_141_id183,91.75,8.0,83.75
DemAGRO_SHAC_Q06_fict__p_82_143_id97,89.75,9.0,80.75
DemAGRO_SHAC_Q06_fict__p_82_157_id126,100.61,10.0,90.61000061035156
DemAGRO_SHAC_Q06_fict__p_83_134_id113,77.79,12.0,65.79000091552734
DemAGRO_SHAC_Q06_fict__p_83_134_id129,77.79,7.0,70.79000091552734
DemAGRO_SHAC_Q06_fict__p_83_135_id96,79.1,13.0,66.0999984741211
DemAGRO_SHAC_Q06_fict__p_83_137_id100,82.73,13.0,69.7300033569336
DemAGRO_SHAC_Q06_fict__p_83_137_id130,82.73,10.0,72.7300033569336
DemAGRO_SHAC_Q06_fict__p_83_138_id115,83.86,12.0,71.86000061035156
DemAGRO_SHAC_Q06_fict__p_83_138_id122,83.86,12.0,71.86000061035156
DemAGRO_SHAC_Q06_fict__p_83_139_id121,85.13,12.0,73.12999725341797
DemAGRO_SHAC_Q06_fict__p_83_142_id123,88.12,9.5,78.62000274658203
DemAGRO_SHAC_Q06_fict__p_83_142_id140,88.12,11.0,77.12000274658203
DemAGRO_SHAC_Q06_fict__p_83_142_id142,88.12,8.0,80.12000274658203
DemAGRO_SHAC_Q06_fict__p_83_146_id118,88.95,7.0,81.94999694824219
DemAGRO_SHAC_Q06_fict__p_83_149_id109,91.11,8.0,83.11000061035156
DemAGRO_SHAC_Q06_fict__p_84_140_id124,82.88,12.0,70.87999725341797
DemAGRO_SHAC_Q06_fict__p_84_140_id88,82.88,9.0,73.87999725341797
DemAGRO_SHAC_Q06_fict__p_84_140_id90,82.88,10.0,72.87999725341797
DemAGRO_SHAC_Q06_fict__p_84_141_id111,84.51,9.5,75.01000213623047
DemAGRO_SHAC_Q06_fict__p_85_122_id170,73.75,85.0,-11.25
DemAGRO_SHAC_Q06_fict__p_85_133_id98,72.66,7.0,65.66000366210938
DemAGRO_SHAC_Q06_fict__p_85_140_id89,80.87,8.5,72.37000274658203
DemAGRO_SHAC_Q06_fict__p_85_157_id179,112.4,8.0,104.4000015258789
DemAGRO_SHAC_Q06_fict__p_86_132_id99,70.95,14.0,56.94999694824219
DemAGRO_SHAC_Q06_fict__p_86_141_id112,80.67,3.0,77.66999816894531
DemAGRO_SHAC_Q06_fict__p_86_147_id95,87.6,7.5,80.0999984741211
DemAGRO_SHAC_Q06_fict__p_86_154_id101,97.84,5.0,92.83999633789062
DemAGRO_SHAC_Q06_fict__p_87_144_id166,84.79,6.8,77.99000091552735
DemAGRO_SHAC_Q06_fict__p_88_147_id107,84.38,7.0,77.37999725341797
DemAGRO_SHAC_Q06_fict__p_88_147_id94,84.38,14.0,70.37999725341797
DemAGRO_SHAC_Q07_fict__p_67_88_id48,33.0,8.0,25.0
DemAGRO_SHAC_Q07_fict__p_67_91_id82,29.1,15.0,14.100000381469727
DemAGRO_SHAC_Q07_fict__p_69_87_id68,27.25,6.0,21.25
DemAGRO_SHAC_Q07_fict__p_70_88_id56,28.63,7.12,21.5099991607666
DemAGRO_SHAC_Q07_fict__p_70_94_id58,37.23,7.1,30.129999542236327
DemAGRO_SHAC_Q07_fict__p_71_93_id59,42.58,7.12,35.46000183105469
DemAGRO_SHAC_Q07_fict__p_71_94_id51,43.73,7.0,36.72999954223633
DemAGRO_SHAC_Q07_fict__p_71_95_id50,41.89,7.0,34.88999938964844
DemAGRO_SHAC_Q07_fict__p_71_97_id60,38.86,17.0,21.860000610351562
DemAGRO_SHAC_Q07_fict__p_72_105_id47,42.33,8.0,34.33000183105469
DemAGRO_SHAC_Q07_fict__p_72_105_id81,42.33,8.0,34.33000183105469
DemAGRO_SHAC_Q07_fict__p_72_99_id46,37.92,8.0,29.919998168945312
DemAGRO_SHAC_Q07_fict__p_77_118_id52,69.33,8.0,61.33000183105469
DemAGRO_SHAC_Q07_fict__p_78_117_id49,54.15,5.3,48.85000152587891
DemAGRO_SHAC_Q07_fict__p_78_118_id71,55.84,5.0,50.84000015258789
DemAGRO_SHAC_Q07_fict__p_79_117_id74,54.8,6.0,48.79999923706055
DemAGRO_SHAC_Q07_fict__p_79_121_id72,58.21,8.0,50.209999084472656
DemAGRO_SHAC_Q07_fict__p_84_117_id67,68.35,2.5,65.8499984741211
DemAGRO_SHAC_Q08_fict__p_65_54_id191,12.46,8.0,4.460000038146973
DemAGRO_SHAC_Q08_fict__p_66_70_id196,32.8,6.0,26.799999237060547
DemAGRO_SHAC_Q08_fict__p_67_56_id199,11.48,12.0,-0.5200004577636719
DemAGRO_SHAC_Q08_fict__p_68_57_id198,15.19,4.0,11.1899995803833
DemAGRO_SHAC_Q08_fict__p_68_57_id200,15.19,3.0,12.1899995803833
DemAGRO_SHAC_Q08_fict__p_69_51_id197,10.12,8.0,2.119999885559082
DemAGRO_SHAC_Q09_fict__p_63_31_id20,2.34,4.0,-1.6600000858306885
DemAGRO_SHAC_Q09_fict__p_63_32_id19,2.969999,6.0,-3.030000925064087
DemAGRO_SHAC_Q09_fict__p_64_28_id8,0.0,4.0,-4.0
DemAGRO_SHAC_Q09_fict__p_65_20_id25,0.0,6.0,-6.0
DemAGRO_SHAC_Q09_fict__p_65_25_id42,0.0,6.0,-6.0
DemAGRO_SHAC_Q09_fict__p_65_26_id40,0.0,6.0,-6.0
DemAGRO_SHAC_Q09_fict__p_65_28_id1,1.13,8.0,-6.870000004768372
DemAGRO_SHAC_Q09_fict__p_65_28_id5,1.13,5.0,-3.8700000047683716
DemAGRO_SHAC_Q09_fict__p_65_28_id7,1.13,40.0,-38.87000000476837
DemAGRO_SHAC_Q09_fict__p_65_38_id29,9.42,8.0,1.4200000762939453
DemAGRO_SHAC_Q09_fict__p_66_21_id26,0.0,12.0,-12.0
DemAGRO_SHAC_Q09_fict__p_66_22_id38,0.0,7.0,-7.0
DemAGRO_SHAC_Q09_fict__p_66_25_id16,1.18,6.0,-4.820000052452087
DemAGRO_SHAC_Q09_fict__p_66_39_id33,6.799999,5.0,1.7999992370605469
DemAGRO_SHAC_Q09_fict__p_66_40_id31,6.65,6.0,0.6500000953674316
DemAGRO_SHAC_Q09_fict__p_66_40_id32,6.65,7.0,-0.34999990463256836
DemAGRO_SHAC_Q09_fict__p_66_41_id37,10.69,6.0,4.689999580383301
DemAGRO_SHAC_Q09_fict__p_66_47_id23,10.04,6.2,3.839999961853027
DemAGRO_SHAC_Q09_fict__p_66_47_id43,10.04,8.0,2.0399999618530273
DemAGRO_SHAC_Q09_fict__p_67_15_id21,0.0,3.0,-3.0
DemAGRO_SHAC_Q09_fict__p_67_21_id45,0.0,45.0,-45.0
DemAGRO_SHAC_Q09_fict__p_67_25_id15,1.99,3.75,-1.7599999904632568
DemAGRO_SHAC_Q09_fict__p_67_27_id22,6.08,3.0,3.0799999237060547
DemAGRO_SHAC_Q09_fict__p_67_42_id30,7.280001,5.0,2.280001163482666
DemAGRO_SHAC_Q09_fict__p_68_16_id13,0.0,4.0,-4.0
DemAGRO_SHAC_Q09_fict__p_68_16_id28,0.0,9.0,-9.0
DemAGRO_SHAC_Q09_fict__p_68_17_id34,0.0,10.0,-10.0
DemAGRO_SHAC_Q09_fict__p_68_18_id27,0.0,8.0,-8.0
DemAGRO_SHAC_Q09_fict__p_68_18_id35,0.0,4.5,-4.5
DemAGRO_SHAC_Q09_fict__p_68_24_id36,0.9899998,3.0,-2.010000228881836
DemAGRO_SHAC_Q09_fict__p_68_24_id6,0.9899998,6.0,-5.010000228881836
DemAGRO_SHAC_Q09_fict__p_68_35_id17,3.65,4.5,-0.8499999046325684
DemAGRO_SHAC_Q09_fict__p_68_45_id2,8.200001,8.0,0.20000076293945312
DemAGRO_SHAC_Q09_fict__p_69_37_id18,4.9,4.2,0.7000000953674315
DemAGRO_SHAC_Q09_fict__p_69_39_id39,8.059999,20.0,-11.940000534057617
DemAGRO_SHAC_Q09_fict__p_70_47_id202,7.209999,4.0,3.2099990844726562
Pozo_Costero_DOH__pozoDOH,13.74,60.0,-46.260000228881836
